Year;Economic Activity;Type of Fixed Assets;Purchases in Thousands SR
2005;"Land transport; transport via pipelines";Transportation Equipment;1940813.0
2005;"Land transport; transport via pipelines";Total;2113168.0
2005;Water transport;Other Equipment;336.0
2005;Air transport;Other Equipment;765560.0
2005;Post and telecommunications;Total;4541704.0
2005;Financial intermediation;Land and Buildings;918460.0
2005;Financial intermediation;Furniture;471678.0
2005;Insurance and pension funding, except compulsory social security;Total;128135.0
2005;Activities auxiliary to financial intermediation;Furniture;388.0
2005;Renting of machinery and equipment without operator and of personal and household goods;Other Equipment;10503.0
2005;Research and development;Other assets;0.0
2005;Research and development;Land and Buildings;0.0
2005;Research and development;Furniture;8.0
2005;Activities, business services;Transportation Equipment;97590.0
2005;Education;Land and Buildings;103622.0
2005;Education;Transportation Equipment;134848.0
2005;Education;Furniture;636641.0
2005;Health and social work;Total;603901.0
2005;Health and social work;Other Equipment;214916.0
2005;Activities of membership organizations n.e.c.;Transportation Equipment;5584.0
2005;Activities of membership organizations n.e.c.;Furniture;2491.0
2005;Recreational, cultural and sporting activities;Land and Buildings;20882.0
2005;Recreational, cultural and sporting activities;Total;49287.0
2005;service activities;Transportation Equipment;1296.0
2005;Air transport;Transportation Equipment;5217839.0
2005;Air transport;Furniture;1531109.0
2005;"Supporting and auxiliary transport activities; activities of travel agencies";Other assets;16708.0
2005;Post and telecommunications;Land and Buildings;112392.0
2005;Post and telecommunications;Other Equipment;828272.0
2005;Financial intermediation;Transportation Equipment;55941.0
2005;Financial intermediation;Total;1846030.0
2005;Financial intermediation;Other Equipment;336750.0
2005;Insurance and pension funding, except compulsory social security;Other assets;1570.0
2005;Real estate activities;Other assets;22260.0
2005;Renting of machinery and equipment without operator and of personal and household goods;Total;307717.0
2005;Computer and related activities;Other assets;5882.0
2005;Computer and related activities;Total;61484.0
2005;Activities, business services;Land and Buildings;43687.0
2005;Activities, business services;Total;283317.0
2005;Education;Other assets;26041.0
2005;Health and social work;Transportation Equipment;22652.0
2005;Sewage and refuse disposal and sanitation;Furniture;5347.0
2005;Activities of membership organizations n.e.c.;Other assets;3795.0
2005;Recreational, cultural and sporting activities;Other assets;7551.0
2005;Recreational, cultural and sporting activities;Furniture;9013.0
2005;service activities;Other Equipment;3396.0
2005;Total;Land and Buildings;13041413.0
2005;Total;Transportation Equipment;12771533.0
2008;Industry of paper and its products;Other Equipment;1794220.0
2008;Printing & Publishing;Total;396997.0
2008;Products of refined petroleum;Other Equipment;58646.0
2008;Products of refined petroleum;Furniture;682.0
2008;Manufacture of chemicals , Articles and  products;Transportation Equipment;63430.0
2008;Manufacture of rubber and plastics products;Land and Buildings;116596.0
2008;Manufacture of rubber and plastics products;Transportation Equipment;256511.0
2008;Manufacture of rubber and plastics products;Other Equipment;1270603.0
2008;Manufacture of  non-metallic mineral products;Furniture;36733.0
2008;Manufacture of basic metals;Transportation Equipment;13240.0
2008;Manufacture of basic metals;Total;425747.0
2008;Manufacture of basic metals;Other Equipment;109814.0
2008;Manufacture of fabricated metal products;Transportation Equipment;39793.0
2008;Manufacture of fabricated metal products;Total;806206.0
2008;Manufacture of office, accounting and computing machinery;Land and Buildings;0.0
2008;Total;Furniture;3899411.0
2007;Products of refined petroleum;Total;341142.0
2007;Manufacture of chemicals , Articles and  products;Land and Buildings;354404.0
2007;Manufacture of rubber and plastics products;Furniture;48459.0
2007;Manufacture of  non-metallic mineral products;Other assets;1418334.0
2007;Manufacture of  non-metallic mineral products;Land and Buildings;1950337.0
2007;Manufacture of  non-metallic mineral products;Furniture;36362.0
2007;Manufacture of basic metals;Other assets;271373.0
2007;Manufacture of basic metals;Land and Buildings;18701.0
2007;Manufacture of basic metals;Transportation Equipment;12631.0
2007;Manufacture of basic metals;Total;413799.0
2007;Manufacture of office, accounting and computing machinery;Other assets;0.0
2007;Manufacture of office, accounting and computing machinery;Transportation Equipment;0.0
2007;Manufacture of radio, television and communication equipment and apparatus;Furniture;384.0
2007;Manufacture of medical, precision and optical instruments, watches and clocks;Other Equipment;10209.0
2007;Manufacture of medical, precision and optical instruments, watches and clocks;Furniture;685.0
2007;Manufacture of motor vehicles, trailers and semi-trailers;Land and Buildings;2075.0
2007;Manufacture of motor vehicles, trailers and semi-trailers;Total;22215.0
2007;Manufacture of motor vehicles, trailers and semi-trailers;Other Equipment;6469.0
2007;Manufacture of other transport equipment;Total;4079.0
2007;Recycling;Transportation Equipment;0.0
2007;Electricity, gas and steam;Total;8105325.0
2007;Collection, purification and distribution of water;Other assets;5469.0
2007;Collection, purification and distribution of water;Furniture;4741.0
2007;Construction;Transportation Equipment;3047522.0
2007;Construction;Total;9490948.0
2007;Construction;Other Equipment;2476678.0
2007;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Other Equipment;59752.0
2007;Wholesale trade and commission trade;Land and Buildings;1609541.0
2007;Wholesale trade and commission trade;Furniture;628648.0
2007;Retail trade and repair of personal and household goods;Other Equipment;286961.0
2005;Post and telecommunications;Other assets;3462552.0
2005;Insurance and pension funding, except compulsory social security;Transportation Equipment;4463.0
2005;Insurance and pension funding, except compulsory social security;Other Equipment;5362.0
2005;Insurance and pension funding, except compulsory social security;Furniture;16428.0
2005;Recycling;Other assets;714.0
2005;Electricity, gas and steam;Land and Buildings;176691.0
2005;Electricity, gas and steam;Other Equipment;7662198.0
2005;Electricity, gas and steam;Furniture;5420.0
2005;Collection, purification and distribution of water;Other Equipment;14726.0
2005;Collection, purification and distribution of water;Furniture;1986.0
2005;Construction;Other Equipment;1503527.0
2005;Wholesale trade and commission trade;Land and Buildings;341463.0
2005;Retail trade and repair of personal and household goods;Other Equipment;118229.0
2005;Hotels and restaurants;Other assets;94443.0
2005;Water transport;Transportation Equipment;0.0
2005;Air transport;Total;8662830.0
2005;"Supporting and auxiliary transport activities; activities of travel agencies";Furniture;7249.0
2005;Post and telecommunications;Furniture;107936.0
2005;Financial intermediation;Other assets;63201.0
2005;Insurance and pension funding, except compulsory social security;Land and Buildings;100312.0
2005;Activities auxiliary to financial intermediation;Transportation Equipment;50.0
2005;Real estate activities;Land and Buildings;1612981.0
2005;Real estate activities;Total;1673748.0
2005;Real estate activities;Other Equipment;9058.0
2005;Real estate activities;Furniture;15621.0
2005;Renting of machinery and equipment without operator and of personal and household goods;Land and Buildings;3151.0
2005;Computer and related activities;Land and Buildings;17291.0
2005;Computer and related activities;Transportation Equipment;3392.0
2005;Computer and related activities;Other Equipment;21206.0
2005;Research and development;Total;33.0
2005;Research and development;Other Equipment;0.0
2005;Activities, business services;Other assets;24990.0
2005;Activities, business services;Furniture;52741.0
2005;Health and social work;Other assets;182613.0
2005;Sewage and refuse disposal and sanitation;Transportation Equipment;70502.0
2005;Sewage and refuse disposal and sanitation;Other Equipment;2274.0
2005;Activities of membership organizations n.e.c.;Other Equipment;2214.0
2005;service activities;Other assets;43.0
2005;service activities;Total;5712.0
2005;Products of refined petroleum;Other assets;739676.0
2005;Products of refined petroleum;Transportation Equipment;6934.0
2005;Products of refined petroleum;Total;777992.0
2005;Manufacture of chemicals , Articles and  products;Other Equipment;999315.0
2005;Manufacture of rubber and plastics products;Land and Buildings;85005.0
2005;Manufacture of rubber and plastics products;Transportation Equipment;25837.0
2005;Manufacture of rubber and plastics products;Other Equipment;238656.0
2005;Manufacture of  non-metallic mineral products;Total;3584365.0
2005;Manufacture of basic metals;Transportation Equipment;14488.0
2005;Manufacture of electrical machinery and apparatus;Other assets;237380.0
2005;Manufacture of electrical machinery and apparatus;Furniture;168417.0
2005;Manufacture of radio, television and communication equipment and apparatus;Other assets;8044.0
2005;Manufacture of radio, television and communication equipment and apparatus;Transportation Equipment;3254.0
2005;Manufacture of radio, television and communication equipment and apparatus;Total;14188.0
2005;Manufacture of radio, television and communication equipment and apparatus;Other Equipment;1862.0
2005;Manufacture of medical, precision and optical instruments, watches and clocks;Transportation Equipment;1876.0
2005;Manufacture of medical, precision and optical instruments, watches and clocks;Other Equipment;9486.0
2005;Manufacture of medical, precision and optical instruments, watches and clocks;Furniture;382.0
2005;Activities auxiliary to financial intermediation;Land and Buildings;526.0
2005;Real estate activities;Transportation Equipment;13828.0
2005;Renting of machinery and equipment without operator and of personal and household goods;Other assets;441.0
2005;Renting of machinery and equipment without operator and of personal and household goods;Transportation Equipment;292142.0
2005;Research and development;Transportation Equipment;25.0
2005;Health and social work;Land and Buildings;144281.0
2005;Health and social work;Furniture;39439.0
2005;Sewage and refuse disposal and sanitation;Land and Buildings;63557.0
2005;Sewage and refuse disposal and sanitation;Total;151974.0
2005;service activities;Land and Buildings;162.0
2005;Total;Other assets;15011472.0
2005;Total;Other Equipment;40550069.0
2005;Total;Furniture;4590395.0
