Year;Economic Activity;Type of Fixed Assets;Purchases in Thousands SR
2008;Education;Other assets;15701.0
2008;Education;Transportation Equipment;13718.0
2008;Education;Other Equipment;10930.0
2008;Health and social work;Other assets;177931.0
2008;Health and social work;Transportation Equipment;26598.0
2007;Industry of paper and its products;Total;2324008.0
2007;Printing & Publishing;Transportation Equipment;16085.0
2007;Printing & Publishing;Furniture;8042.0
2007;Products of refined petroleum;Transportation Equipment;6511.0
2007;Manufacture of chemicals , Articles and  products;Furniture;35121.0
2007;Manufacture of rubber and plastics products;Land and Buildings;114821.0
2007;Manufacture of rubber and plastics products;Total;1845833.0
2007;Manufacture of  non-metallic mineral products;Transportation Equipment;275844.0
2007;Manufacture of  non-metallic mineral products;Total;6204303.0
2007;Manufacture of fabricated metal products;Furniture;14875.0
2007;Manufacture of machinery and equipment;Other Equipment;73278.0
2007;Manufacture of electrical machinery and apparatus;Other assets;156809.0
2007;Manufacture of electrical machinery and apparatus;Total;613949.0
2007;Manufacture of electrical machinery and apparatus;Other Equipment;151362.0
2007;Manufacture of radio, television and communication equipment and apparatus;Other assets;7258.0
2007;Manufacture of medical, precision and optical instruments, watches and clocks;Land and Buildings;601.0
2007;Manufacture of other transport equipment;Land and Buildings;533.0
2007;Manufacture of other transport equipment;Other Equipment;2752.0
2007;Manufacture of other transport equipment;Furniture;409.0
2007;"Manufacture of furniture; manufacturing";Transportation Equipment;243675.0
2007;service activities;Furniture;840.0
2006;Agriculture and hunting and related service activities;Other assets;11491.0
2006;Agriculture and hunting and related service activities;Land and Buildings;80880.0
2006;Forestry and logging;Transportation Equipment;0.0
2006;Fishing;Other assets;25393.0
2006;Fishing;Transportation Equipment;2001.0
2006;Fishing;Other Equipment;5375.0
2006;Exploration of oil and natural gas;Other Equipment;41654671.0
2006;Mining of metal ores;Transportation Equipment;0.0
2006;Activities for mining and quarrying;Other assets;12501.0
2006;Activities for mining and quarrying;Total;953330.0
2006;Manufacture of food prod. and beverages;Other Equipment;1176138.0
2006;Manufacture of tobacco products;Land and Buildings;0.0
2006;Manufacturing of apparel, preparing & tanning fur;Land and Buildings;8061.0
2006;"Tanning and dressing of leather; manufacture of luggage and footwear";Land and Buildings;179.0
2006;Manufacture of wood and of products of wood and cork;Transportation Equipment;3748.0
2006;Manufacture of wood and of products of wood and cork;Furniture;1198.0
2006;Industry of paper and its products;Other assets;254492.0
2006;Industry of paper and its products;Other Equipment;2006770.0
2006;Printing & Publishing;Transportation Equipment;15985.0
2006;Products of refined petroleum;Land and Buildings;2332.0
2006;Products of refined petroleum;Transportation Equipment;9176.0
2006;Manufacture of rubber and plastics products;Transportation Equipment;242549.0
2006;Manufacture of rubber and plastics products;Other Equipment;1363879.0
2006;Manufacture of basic metals;Other Equipment;105125.0
2006;Manufacture of basic metals;Furniture;5040.0
2006;Manufacture of fabricated metal products;Transportation Equipment;34726.0
2006;Manufacture of fabricated metal products;Total;797485.0
2006;Manufacture of machinery and equipment;Land and Buildings;31138.0
2006;Manufacture of machinery and equipment;Other Equipment;80884.0
2006;Manufacture of office, accounting and computing machinery;Other assets;0.0
2006;Water transport;Total;1073.0
2006;Water transport;Other Equipment;0.0
2006;"Supporting and auxiliary transport activities; activities of travel agencies";Other Equipment;97603.0
2006;Post and telecommunications;Transportation Equipment;37381.0
2006;Financial intermediation;Total;2086830.0
2006;Insurance and pension funding, except compulsory social security;Other Equipment;33451.0
2006;Insurance and pension funding, except compulsory social security;Furniture;19972.0
2006;Real estate activities;Furniture;7812.0
2006;Computer and related activities;Total;102361.0
2006;Education;Other Equipment;8521.0
2006;Health and social work;Furniture;389618.0
2006;Activities of membership organizations n.e.c.;Total;23945.0
2006;Activities of membership organizations n.e.c.;Other Equipment;2407.0
2006;Recreational, cultural and sporting activities;Other Equipment;6405.0
2006;Total;Total;109263475.0
2006;Total;Other Equipment;66479917.0
2005;Fishing;Other Equipment;3463.0
